school_id,school_name,school_conference,sets_played,match_win,match_loss,ttl_ace,ace_set,ttl_assist,assist_set,ttl_soloblock,ttl_blockassist,block_set,ttl_dig,dig_set,ttl_attkill,ttl_atterror,ttl_attack,attack_percentage,attack_set,attkill_set,win_percentage,ttl_oppkill,ttl_oppatterror,ttl_oppattack,oppattack_percentage
t058,Clarion,PSAC,111,15,12,175,1.58,1292,11.64,62,334,2.06,1699,15.31,1389,640,4063,0.184,36.6,12.51,0.555555556,1245,612,3885,0.163
t059,Clark Atlanta,SIAC,105,14,14,175,1.67,1065,10.14,100,210,1.95,1398,13.31,1164,660,3445,0.146,32.81,11.09,0.5,1036,603,3308,0.131
t060,Coker,South Atlantic,92,5,19,92,1,924,10.04,58,254,2.01,1568,17.04,969,530,3566,0.123,38.76,10.53,0.208333333,1174,520,3615,0.181
t061,Colo. Christian,RMAC,102,19,11,153,1.5,1333,13.07,54,352,2.25,1711,16.77,1421,514,3840,0.236,37.65,13.93,0.633333333,1260,557,3852,0.183
t062,Colo. Sch. of Mines,RMAC,100,9,17,102,1.02,1102,11.02,39,348,2.13,1425,14.25,1174,506,3504,0.191,35.04,11.74,0.346153846,1363,552,3642,0.223
t063,Colorado Mesa,RMAC,102,23,6,159,1.56,1383,13.56,79,235,1.93,1454,14.25,1489,599,3536,0.252,34.67,14.6,0.793103448,1064,516,3233,0.17
t064,Concord,Mountain East,120,17,16,173,1.44,1333,11.11,60,403,2.18,1781,14.84,1428,576,4194,0.203,34.95,11.9,0.515151515,1574,744,4438,0.187
t065,Concordia-St. Paul,NSIC,120,24,7,229,1.91,1639,13.66,74,385,2.22,1893,15.78,1731,656,4400,0.244,36.67,14.43,0.774193548,1312,584,4051,0.18
t066,Converse,Conference Carolinas,128,23,10,253,1.98,1467,11.46,91,244,1.66,2360,18.44,1590,636,4811,0.198,37.59,12.42,0.696969697,1437,674,4773,0.16
t067,CSU Pueblo,RMAC,96,16,11,163,1.7,1131,11.78,44,278,1.91,1443,15.03,1246,447,3519,0.227,36.66,12.98,0.592592593,1197,495,3461,0.203
t068,CSUSB,CCAA,99,15,11,170,1.72,1143,11.55,45,330,2.12,1480,14.95,1222,450,3478,0.222,35.13,12.34,0.576923077,1212,556,3501,0.187
t069,CUI,PacWest,113,16,12,197,1.74,1306,11.56,66,281,1.83,1827,16.17,1393,560,4098,0.203,36.27,12.33,0.571428571,1363,594,4100,0.188
t070,Daemen,ECC,105,17,9,262,2.5,1254,11.94,52,226,1.57,1647,15.69,1365,624,3672,0.202,34.97,13,0.653846154,1005,485,3375,0.154
t071,Davenport,GLIAC,105,10,19,187,1.78,1069,10.18,35,290,1.71,1427,13.59,1147,571,3576,0.161,34.06,10.92,0.344827586,1253,518,3453,0.213
t072,Davis & Elkins,Mountain East,87,7,17,137,1.57,800,9.2,25,124,1,1142,13.13,855,496,2957,0.121,33.99,9.83,0.291666667,1037,409,2850,0.22
t073,DBU,Lone Star,110,20,10,193,1.75,1326,12.05,53,366,2.15,1586,14.42,1482,516,3790,0.255,34.45,13.47,0.666666667,1301,553,3813,0.196
t074,Dominican (CA),PacWest,96,6,20,149,1.55,987,10.28,43,184,1.41,1505,15.68,1077,584,3591,0.137,37.41,11.22,0.230769231,1282,499,3548,0.221
t075,Dominican (NY),CACC,99,12,13,194,1.96,1047,10.58,47,196,1.46,1397,14.11,1120,487,3262,0.194,32.95,11.31,0.48,1118,523,3263,0.182
